year,city,country,avg_temp
1982,Novosibirsk,Russia,1.84
1983,Novosibirsk,Russia,2.61
1984,Novosibirsk,Russia,-1.39
1985,Novosibirsk,Russia,-0.33
1986,Novosibirsk,Russia,0.19
1987,Novosibirsk,Russia,0.06
1988,Novosibirsk,Russia,1.19
1989,Novosibirsk,Russia,1.75
1990,Novosibirsk,Russia,1.84
1991,Novosibirsk,Russia,1.36
1992,Novosibirsk,Russia,1.30
1993,Novosibirsk,Russia,0.56
1994,Novosibirsk,Russia,1.34
1995,Novosibirsk,Russia,2.69
1996,Novosibirsk,Russia,-0.39
1997,Novosibirsk,Russia,2.05
1998,Novosibirsk,Russia,0.57
1999,Novosibirsk,Russia,1.44
2000,Novosibirsk,Russia,0.69
2001,Novosibirsk,Russia,1.40
2002,Novosibirsk,Russia,2.52
2003,Novosibirsk,Russia,1.61
2004,Novosibirsk,Russia,1.47
2005,Novosibirsk,Russia,1.48
2006,Novosibirsk,Russia,0.74
2007,Novosibirsk,Russia,2.50
2008,Novosibirsk,Russia,1.93
2009,Novosibirsk,Russia,-0.09
2010,Novosibirsk,Russia,-0.88
2011,Novosibirsk,Russia,1.28
2012,Novosibirsk,Russia,1.07
2013,Novosibirsk,Russia,2.31
