year,city,country,avg_temp
1943,Madrid,Spain,12.11
1944,Madrid,Spain,11.26
1945,Madrid,Spain,12.56
1946,Madrid,Spain,11.10
1947,Madrid,Spain,12.38
1948,Madrid,Spain,12.49
1949,Madrid,Spain,12.43
1950,Madrid,Spain,12.17
1951,Madrid,Spain,11.15
1952,Madrid,Spain,11.50
1953,Madrid,Spain,11.76
1954,Madrid,Spain,11.29
1955,Madrid,Spain,12.45
1956,Madrid,Spain,10.34
1957,Madrid,Spain,11.30
1958,Madrid,Spain,11.80
1959,Madrid,Spain,11.80
1960,Madrid,Spain,11.57
1961,Madrid,Spain,12.60
1962,Madrid,Spain,11.70
1963,Madrid,Spain,11.20
1964,Madrid,Spain,11.97
1965,Madrid,Spain,11.55
1966,Madrid,Spain,11.79
1967,Madrid,Spain,11.50
1968,Madrid,Spain,11.85
1969,Madrid,Spain,10.94
1970,Madrid,Spain,11.61
1971,Madrid,Spain,10.83
1972,Madrid,Spain,10.65
1973,Madrid,Spain,11.22
1974,Madrid,Spain,11.07
1975,Madrid,Spain,11.14
1976,Madrid,Spain,11.31
1977,Madrid,Spain,11.30
1978,Madrid,Spain,11.53
1979,Madrid,Spain,11.72
1980,Madrid,Spain,11.42
1981,Madrid,Spain,12.10
1982,Madrid,Spain,12.05
1983,Madrid,Spain,11.98
1984,Madrid,Spain,11.05
1985,Madrid,Spain,12.04
1986,Madrid,Spain,11.65
1987,Madrid,Spain,12.36
1988,Madrid,Spain,11.83
1989,Madrid,Spain,13.04
1990,Madrid,Spain,12.68
1991,Madrid,Spain,11.92
1992,Madrid,Spain,11.89
1993,Madrid,Spain,11.12
1994,Madrid,Spain,12.45
1995,Madrid,Spain,12.99
1996,Madrid,Spain,11.96
1997,Madrid,Spain,13.02
1998,Madrid,Spain,12.40
1999,Madrid,Spain,12.09
2000,Madrid,Spain,12.20
2001,Madrid,Spain,12.33
2002,Madrid,Spain,12.52
2003,Madrid,Spain,12.92
2004,Madrid,Spain,12.17
2005,Madrid,Spain,12.26
2006,Madrid,Spain,13.06
2007,Madrid,Spain,11.89
2008,Madrid,Spain,11.92
2009,Madrid,Spain,12.96
2010,Madrid,Spain,12.01
2011,Madrid,Spain,13.28
2012,Madrid,Spain,12.33
2013,Madrid,Spain,12.68
