year,city,country,avg_temp
1930,Lisbon,Portugal,15.65
1931,Lisbon,Portugal,15.45
1932,Lisbon,Portugal,15.09
1933,Lisbon,Portugal,15.52
1934,Lisbon,Portugal,15.28
1935,Lisbon,Portugal,15.25
1936,Lisbon,Portugal,15.25
1937,Lisbon,Portugal,15.74
1938,Lisbon,Portugal,15.90
1939,Lisbon,Portugal,15.43
1940,Lisbon,Portugal,15.73
1941,Lisbon,Portugal,15.40
1942,Lisbon,Portugal,15.56
1943,Lisbon,Portugal,16.00
1944,Lisbon,Portugal,15.71
1945,Lisbon,Portugal,16.51
1946,Lisbon,Portugal,15.36
1947,Lisbon,Portugal,16.05
1948,Lisbon,Portugal,16.68
1949,Lisbon,Portugal,16.64
1950,Lisbon,Portugal,15.85
1951,Lisbon,Portugal,15.31
1952,Lisbon,Portugal,15.61
1953,Lisbon,Portugal,16.19
1954,Lisbon,Portugal,15.46
1955,Lisbon,Portugal,16.58
1956,Lisbon,Portugal,14.66
1957,Lisbon,Portugal,15.53
1958,Lisbon,Portugal,15.73
1959,Lisbon,Portugal,15.89
1960,Lisbon,Portugal,15.65
1961,Lisbon,Portugal,16.59
1962,Lisbon,Portugal,15.80
1963,Lisbon,Portugal,15.48
1964,Lisbon,Portugal,16.00
1965,Lisbon,Portugal,15.54
1966,Lisbon,Portugal,15.85
1967,Lisbon,Portugal,15.53
1968,Lisbon,Portugal,15.80
1969,Lisbon,Portugal,15.26
1970,Lisbon,Portugal,15.62
1971,Lisbon,Portugal,15.18
1972,Lisbon,Portugal,14.65
1973,Lisbon,Portugal,15.50
1974,Lisbon,Portugal,15.25
1975,Lisbon,Portugal,15.32
1976,Lisbon,Portugal,15.45
1977,Lisbon,Portugal,15.40
1978,Lisbon,Portugal,15.68
1979,Lisbon,Portugal,15.53
1980,Lisbon,Portugal,15.66
1981,Lisbon,Portugal,16.37
1982,Lisbon,Portugal,15.85
1983,Lisbon,Portugal,15.91
1984,Lisbon,Portugal,15.43
1985,Lisbon,Portugal,15.98
1986,Lisbon,Portugal,15.53
1987,Lisbon,Portugal,16.46
1988,Lisbon,Portugal,15.89
1989,Lisbon,Portugal,16.87
1990,Lisbon,Portugal,16.55
1991,Lisbon,Portugal,16.09
1992,Lisbon,Portugal,15.95
1993,Lisbon,Portugal,15.33
1994,Lisbon,Portugal,16.12
1995,Lisbon,Portugal,17.23
1996,Lisbon,Portugal,16.12
1997,Lisbon,Portugal,17.10
1998,Lisbon,Portugal,16.40
1999,Lisbon,Portugal,16.09
2000,Lisbon,Portugal,16.23
2001,Lisbon,Portugal,16.20
2002,Lisbon,Portugal,16.19
2003,Lisbon,Portugal,16.60
2004,Lisbon,Portugal,16.31
2005,Lisbon,Portugal,16.43
2006,Lisbon,Portugal,16.84
2007,Lisbon,Portugal,16.11
2008,Lisbon,Portugal,16.12
2009,Lisbon,Portugal,16.84
2010,Lisbon,Portugal,16.50
2011,Lisbon,Portugal,16.91
2012,Lisbon,Portugal,16.24
2013,Lisbon,Portugal,16.77
